Country,ISO3Code,Mortality_Status_Binary,ANC4,SBA,Births_2022,ANC4_Data_Available,SBA_Data_Available,Births_Data_Available,ANC4_Category,SBA_Category
Nigeria,NGA,off-track,60.4,50.7,5285.555,True,True,True,Medium (50-79%),Medium (50-79%)
Poland,POL,on-track,,99.6,-125.463,False,True,True,No Data,High (≥80%)
Portugal,PRT,on-track,,97.3,-32.711,False,True,True,No Data,High (≥80%)
Paraguay,PRY,on-track,81.0,91.2,87.489,True,True,True,High (≥80%),High (≥80%)
State of Palestine,PSE,on-track,94.8,99.7,125.205,True,True,True,High (≥80%),High (≥80%)
Qatar,QAT,on-track,,100.0,21.587,False,True,True,No Data,High (≥80%)
Romania,ROU,on-track,70.1,94.7,-123.823,True,True,True,Medium (50-79%),High (≥80%)
Russian Federation,RUS,on-track,,99.7,-980.855,False,True,True,No Data,High (≥80%)
Pakistan,PAK,off-track,52.4,68.0,4768.488,True,True,True,Medium (50-79%),Medium (50-79%)
Saudi Arabia,SAU,on-track,79.7,94.8,515.533,True,True,True,Medium (50-79%),High (≥80%)
Papua New Guinea,PNG,off-track,49.0,56.4,189.207,True,True,True,Low (<50%),Medium (50-79%)
Senegal,SEN,off-track,29.2,74.5,459.556,True,True,True,Low (<50%),Medium (50-79%)
Singapore,SGP,on-track,,99.5,12.579,False,True,True,No Data,High (≥80%)
Rwanda,RWA,off-track,47.2,94.2,325.632,True,True,True,Low (<50%),High (≥80%)
El Salvador,SLV,on-track,,98.1,48.435,False,True,True,No Data,High (≥80%)
Sierra Leone,SLE,off-track,78.8,86.9,188.332,True,True,True,Medium (50-79%),High (≥80%)
Serbia,SRB,on-track,96.6,99.9,-70.446,True,True,True,High (≥80%),High (≥80%)
Somalia,SOM,off-track,24.4,31.9,565.041,True,True,True,Low (<50%),Low (<50%)
Sao Tome and Principe,STP,on-track,,96.8,5.041,False,True,True,No Data,High (≥80%)
Suriname,SUR,on-track,67.5,100.0,5.781,True,True,True,Medium (50-79%),High (≥80%)
Slovakia,SVK,on-track,,98.1,-16.969,False,True,True,No Data,High (≥80%)
Seychelles,SYC,on-track,,99.8,0.662,False,True,True,No Data,High (≥80%)
Turks and Caicos Islands,TCA,on-track,93.2,100.0,0.148,True,True,True,High (≥80%),High (≥80%)
South Sudan,SSD,off-track,31.1,39.7,197.957,True,True,True,Low (<50%),Low (<50%)
Thailand,THA,on-track,88.3,99.6,94.556,True,True,True,High (≥80%),High (≥80%)
Timor-Leste,TLS,off-track,83.1,,24.292,True,False,True,High (≥80%),No Data
Tonga,TON,on-track,88.5,98.3,1.717,True,True,True,High (≥80%),High (≥80%)
Tunisia,TUN,on-track,84.1,99.5,98.841,True,True,True,High (≥80%),High (≥80%)
Türkiye,TUR,on-track,89.7,97.0,800.803,True,True,True,High (≥80%),High (≥80%)
Tuvalu,TUV,on-track,60.3,99.5,0.15,True,True,True,Medium (50-79%),High (≥80%)
United Republic of Tanzania,TZA,off-track,65.1,85.0,1956.292,True,True,True,Medium (50-79%),High (≥80%)
Turkmenistan,TKM,off-track,97.6,99.7,91.138,True,True,True,High (≥80%),High (≥80%)
Uruguay,URY,on-track,97.3,100.0,1.848,True,True,True,High (≥80%),High (≥80%)
United States,USA,on-track,,98.6,582.21,False,True,True,No Data,High (≥80%)
Uzbekistan,UZB,on-track,89.5,99.0,569.214,True,True,True,High (≥80%),High (≥80%)
Saint Vincent and the Grenadines,VCT,on-track,,99.0,-0.133,False,True,True,No Data,High (≥80%)
Venezuela (Bolivarian Republic of),VEN,on-track,,98.7,210.364,False,True,True,No Data,High (≥80%)
Viet Nam,VNM,on-track,88.2,96.1,771.853,True,True,True,High (≥80%),High (≥80%)
Samoa,WSM,on-track,69.8,88.9,4.808,True,True,True,Medium (50-79%),High (≥80%)
Uganda,UGA,off-track,56.7,91.0,1449.618,True,True,True,Medium (50-79%),High (≥80%)
Zambia,ZMB,off-track,63.5,80.4,548.867,True,True,True,Medium (50-79%),High (≥80%)
Zimbabwe,ZWE,off-track,71.5,86.0,345.195,True,True,True,Medium (50-79%),High (≥80%)
